alpha_target,m,open_n,chain_n,open_alpha,chain_alpha,open_comp_total,chain_comp_total,open_comp_avg,chain_comp_avg
0.7,50,35,35,0.700000,0.700000,98,40,2.800000,1.142857
0.7,100,70,70,0.700000,0.700000,296,97,4.228571,1.385714
0.7,200,140,140,0.700000,0.700000,514,195,3.671429,1.392857
0.7,500,350,350,0.700000,0.700000,1194,472,3.411429,1.348571
0.7,1000,700,700,0.700000,0.700000,2698,988,3.854286,1.411429
0.9,50,45,45,0.900000,0.900000,186,61,4.133333,1.355556
0.9,100,90,90,0.900000,0.900000,446,129,4.955556,1.433333
0.9,200,180,180,0.900000,0.900000,880,253,4.888889,1.405556
0.9,500,450,450,0.900000,0.900000,2444,668,5.431111,1.484444
0.9,1000,900,900,0.900000,0.900000,5372,1295,5.968889,1.438889
